chave_diagnostico,subgrupo_respiratorio
J00,
J01,
J010,
J011,
J012,
J013,
J014,
J018,
J019,
J02,
J020,
J028,
J029,
J03,
J030,
J038,
J039,
J04,
J040,
J041,
J042,
J05,
J050,
J051,
J06,
J060,
J068,
J069,
J09,
J10,
J100,
J101,
J108,
J11,
J110,
J111,
J118,
J12,
J120,
J121,
J122,
J128,
J129,
J13,
J14,
J15,
J150,
J151,
J152,
J153,
J154,
J155,
J156,
J157,
J158,
J159,
J16,
J160,
J168,
J17,
J170,
J171,
J172,
J178,
J18,
J180,
J181,
J182,
J188,
J189,
J20,
J200,
J201,
J202,
J204,
J205,
J206,
J208,
J209,
J21,
J210,
J218,
J219,
J22,
J30,
J303,
J304,
J31,
J310,
J32,
J320,
J321,
J322,
J323,
J324,
J328,
J329,
J33,
J330,
J331,
J338,
J339,
J34,
J340,
J341,
J342,
J343,
J348,
J35,
J350,
J351,
J352,
J353,
J358,
J359,
J36,
J37,
J370,
J371,
J38,
J380,
J381,
J382,
J383,
J384,
J385,
J386,
J387,
J39,
J390,
J391,
J392,
J393,
J398,
J399,
J40,
J41,
J410,
J411,
J418,
J42,
J43,
J430,
J431,
J432,
J438,
J439,
J44,
J440,
J441,
J448,
J449,
J45,
J450,
J451,
J458,
J459,
J46,
J47,
J60,
J61,
J62,
J620,
J628,
J63,
J630,
J631,
J635,
J638,
J64,
J65,
J66,
J661,
J668,
J67,
J672,
J674,
J677,
J679,
J68,
J680,
J681,
J682,
J683,
J684,
J688,
J689,
J69,
J690,
J698,
J70,
J701,
J702,
J703,
J704,
J708,
J709,
J80,
J81,
J82,
J84,
J840,
J841,
J848,
J849,
J85,
J850,
J851,
J852,
J853,
J86,
J860,
J869,
J90,
J91,
J92,
J929,
J93,
J930,
J931,
J938,
J939,
J94,
J940,
J941,
J942,
J948,
J949,
J95,
J950,
J951,
J952,
J953,
J954,
J955,
J958,
J959,
J96,
J960,
J961,
J969,
J98,
J980,
J981,
J982,
J983,
J984,
J985,
J986,
J988,
J989,
J990,
J991,
J998,
