M0010;M0020;M0100;M0101;M0110;M0120;M0130;M0140;M0150;M0160;M0170;MM0150;MM0160;MM0170
5;52;2664508;M001;12.9171603403659;08;01;2;4;1;11;0;0;0
5;52;4366614;M001;10.8910109061036;01;01;1;2;1;16;0;0;0
5;52;2031778;M001;14.6533810912474;01;01;1;4;1;10;0;0;0
5;52;3343607;M001;8.5576601671377;01;01;1;2;1;17;0;0;0
5;52;1264929;M001;8.4306240816786;01;01;1;3;2;13;0;0;0
5;52;7748509;M001;9.3061367504394;01;01;1;2;2;12;0;0;0
5;52;4798918;M001;10.8697696336101;01;01;1;1;1;08;0;0;0
5;52;7423550;M001;9.137597409098;01;01;1;2;2;17;0;0;0
5;52;2615395;M001;8.6250304023933;01;01;1;3;1;10;0;0;0
5;52;4595635;M001;8.9745663494586;01;01;1;2;1;13;0;0;0
5;52;458042;M001;7.4697236733429;01;01;1;4;1;14;0;0;0
5;52;4511303;M001;10.9345216758491;01;01;1;3;1;17;0;0;0
5;52;1976112;M001;11.7333891118003;01;01;1;1;1;10;0;0;0
5;52;2926688;M001;12.4324411291002;01;01;1;1;1;12;0;0;0
5;52;6575761;M001;10.7710897714277;01;01;1;2;2;17;0;0;0
5;52;189653;M001;10.4749471653917;01;01;1;1;1;17;0;0;0
5;52;189653;M002;10.4749471653917;01;01;1;1;2;13;0;0;0
5;52;1280588;M001;9.031496070187;01;01;1;2;1;14;0;0;0
5;52;2221501;M001;9.3061367504394;01;01;1;1;2;15;0;0;0
5;52;1073945;M001;11.7741409593516;01;01;1;1;2;14;0;0;0
5;52;2828862;M001;11.7326377034693;01;01;1;1;1;16;0;0;0
5;52;3376950;M001;10.1339824281742;03;01;1;3;1;13;0;0;0
5;52;3862757;M001;10.1207776791696;03;01;1;4;1;11;0;0;0
5;52;1063958;M001;12.4282335351353;08;01;2;2;1;07;0;0;0
5;52;5459093;M001;11.5389827910856;01;01;1;3;2;09;0;0;0
5;52;6941607;M001;9.7670793646587;01;01;1;1;2;12;0;0;0
5;52;2926643;M001;10.0852758822909;01;01;1;2;1;15;0;0;0
5;52;1591420;M001;11.565450992638;03;01;1;4;2;13;0;0;0
5;52;3649588;M001;10.8673353254233;03;01;1;3;2;14;0;0;0
5;52;3526376;M001;10.2522463353482;01;01;1;4;1;11;0;0;0
5;52;1111675;M001;10.8293830367187;01;01;1;2;2;11;0;0;0
5;52;784420;M001;8.1056814132335;01;01;1;3;1;13;0;0;0
5;52;1265289;M001;13.9141540477423;01;01;1;1;1;08;0;0;0
5;52;548799;M001;11.9712132232641;01;01;1;3;1;11;0;0;0
5;52;5327710;M001;8.6548878043009;01;01;1;1;2;17;0;0;0
5;52;1911111;M001;11.5262505846587;08;01;2;4;2;17;0;0;0
5;52;2383292;M001;2.4480441944471;01;01;1;2;2;09;0;0;0
5;52;1980125;M001;2.6653181880995;01;01;1;1;1;09;0;0;0
5;52;7751878;M001;1.7518691057119;01;01;1;1;1;17;0;0;0
5;52;3204263;M001;3.2513328532817;01;01;1;3;1;17;0;0;0
5;52;516422;M001;3.2803028428536;01;01;1;3;1;17;0;0;0
5;52;5911263;M001;2.2457667470997;01;01;1;2;1;17;0;0;0
5;52;1550848;M001;3.5876265382467;01;01;1;1;2;14;0;0;0
5;52;1976319;M001;2.7295382416762;01;01;1;2;2;17;0;0;0
5;52;1976319;M002;2.7295382416762;01;01;1;3;1;17;0;0;0
5;52;185200;M001;3.2415108997916;01;01;1;2;1;15;0;0;0
5;52;4566559;M001;2.1879441373935;01;01;1;2;2;17;0;0;0
5;52;7760410;M001;3.1425459476527;01;01;1;3;1;17;0;0;0
5;52;1134732;M001;2.2744045554358;01;01;1;3;1;06;0;0;0
5;52;5384059;M001;3.0016845621364;01;01;1;1;1;17;0;0;0
5;52;6682729;M001;2.589705912767;08;01;2;3;2;15;0;0;0
5;52;7454338;M001;1.9184861826667;08;01;2;3;2;12;0;0;0
5;52;4798086;M001;2.2457667470997;01;01;1;2;1;16;0;0;0
5;52;848;M001;3.6042004993525;01;01;1;3;1;16;0;0;0
5;52;1147902;M001;2.7295382416762;01;01;1;1;2;15;0;0;0
5;52;305861;M001;2.9627234469152;01;01;1;2;1;07;0;0;0
5;52;5798242;M001;2.9210396639592;01;01;1;1;1;17;0;0;0
5;52;6540461;M001;1.9312760200764;02;01;1;2;1;17;0;0;0
5;52;3572508;M001;3.4371878249537;02;01;1;3;1;15;0;0;0
5;52;6692188;M001;2.8246254882192;01;01;1;2;2;15;0;0;0
5;52;3824497;M001;4.4310901356457;01;01;1;2;1;16;0;0;0
