F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;4867195;F001;5.9102572778453;01;01;1;01;2;1;08;3;1;01;;0;1;1;4200;1;0;0
5;52;7252521;F001;6.1532712130061;01;01;1;01;2;1;12;4;1;01;;0;1;1;6106;1;0;0
5;52;3717123;F001;5.9722908091683;01;01;1;01;2;1;09;1;1;01;;0;1;1;1400;1;0;0
5;52;7359399;F001;2.8919922802385;01;01;1;01;3;1;17;2;1;03;;0;2;1;1866.67;1;0;0
5;52;5584758;F001;5.8796112076648;01;01;1;01;3;2;09;1;4;03;;1;2;1;1071;1;0;0
5;52;727989;F001;5.1576225597677;01;01;1;01;3;1;13;3;1;03;;0;2;1;1404.33;1;0;0
5;52;2733354;F001;4.1634109669856;01;01;1;01;3;2;11;1;4;06;;0;1;2;830.67;;0;0
5;52;5084482;F001;4.05763123048;01;01;1;01;5;1;08;3;4;03;;1;3;2;885;1;0;0
5;52;969520;F001;3.8889652252161;01;01;1;01;4;2;10;4;2;03;;0;3;1;1928.5;1;0;0
5;52;876732;F001;5.5735499086004;01;01;1;01;4;1;10;3;1;03;;0;1;3;303;2;0;0
5;52;2495541;F001;4.791952058084;01;01;1;01;4;1;11;3;1;03;;2;1;3;1250.25;2;0;0
5;52;3692710;F001;5.1684967403114;01;01;1;01;3;1;14;1;4;03;;0;2;1;2475;1;0;0
5;52;5961899;F001;5.1602954026049;01;01;1;01;5;1;09;1;4;03;;2;2;3;480;1;0;0
5;52;3362731;F001;5.5964482121976;01;01;1;01;2;2;10;3;2;05;;0;1;1;1212;;0;0
5;52;3644546;F001;4.8400326763841;01;01;1;01;2;1;12;2;1;01;;0;1;1;350;3;0;0
5;52;4939732;F001;5.9570420934923;01;01;1;01;2;2;06;3;2;01;;0;1;1;2200;1;0;0
5;52;7605500;F001;7.6121729714548;01;01;1;01;2;2;11;1;5;01;;0;1;1;750;3;0;0
5;52;5039901;F001;7.1929727293315;01;01;1;01;3;2;06;4;2;02;;0;1;2;1678.33;1;0;0
5;52;1727048;F001;5.6590276651593;01;01;1;01;2;2;14;1;1;05;;1;1;1;1212;;0;0
5;52;2493584;F001;2.181650211401;01;01;1;01;2;2;13;1;1;10;;0;1;1;1212;;0;0
5;52;981744;F001;5.8963350331131;01;01;1;01;2;2;10;3;4;01;;0;1;1;1181;1;0;0
5;52;3787296;F001;1.897996604795;01;01;1;01;5;2;07;2;4;04;;2;2;3;810;1;0;0
5;52;3945862;F001;5.7981240028122;01;01;1;01;4;2;16;4;1;10;;1;2;2;800;;0;0
5;52;4890275;F001;6.1485576183119;01;01;1;01;2;1;09;1;4;10;;0;2;0;1818;;0;0
5;52;1482982;F001;6.6699001451205;01;01;1;01;3;2;15;1;4;05;;0;2;1;1291.67;;0;0
5;52;5807242;F001;1.6690438640275;01;01;1;01;2;2;17;1;1;01;;0;1;1;1500;1;0;0
5;52;6580164;F001;6.4863334017798;01;01;1;01;2;2;11;3;4;05;;1;1;1;1250;;0;0
5;52;3193648;F001;3.6283666072692;01;01;1;02;2;2;07;3;4;05;;1;1;1;600;;0;0
5;52;3193648;F002;3.6283666072692;01;01;1;03;5;;;;;;3;;3;2;702.4;;9;9
5;52;6278431;F001;4.6626502591648;01;01;1;01;4;2;07;2;4;03;;1;3;1;250;3;0;0
5;52;4512840;F001;5.3644951172124;01;01;1;01;2;2;04;2;4;01;;0;1;1;300;2;0;0
5;52;2271281;F001;4.725495869856;01;01;1;01;4;2;07;3;1;03;;1;3;1;850;1;0;0
5;52;1492849;F001;3.5649621361679;01;01;1;01;4;2;07;3;4;03;;2;2;2;600;2;0;0
5;52;7769348;F001;4.970732153252;01;01;1;01;3;1;07;1;4;10;;0;2;1;500;;0;0
5;52;2182253;F001;3.5220399828731;01;01;1;01;4;2;07;3;1;03;;2;2;2;625;2;0;0
5;52;7804129;F001;4.9715702799738;01;01;1;01;5;1;04;1;4;10;;0;3;2;580;;0;0
5;52;6930106;F001;5.3185326946823;01;01;1;01;4;1;03;1;4;10;;0;3;1;1200;;0;0
5;52;886820;F001;4.339405693516;01;01;1;01;2;1;17;1;2;01;;0;1;1;1100;1;0;0
5;52;2695276;F001;5.7263220244456;01;01;1;01;3;2;06;3;4;03;;1;2;1;800;3;0;0
5;52;475187;F001;8.7955971607755;01;01;1;01;3;2;11;3;1;05;;0;0;3;2033.33;;0;0
5;52;6403558;F001;4.3382838121338;01;01;1;01;3;2;12;1;2;03;;0;2;1;1300;1;0;0
5;52;3511653;F001;5.4926661198167;01;01;1;01;3;2;10;3;4;03;;1;1;2;1600;3;0;0
5;52;232621;F001;5.2650057161458;01;01;1;01;5;2;07;1;4;04;;1;2;3;420;3;0;0
5;52;4501438;F001;5.69173674617;01;01;1;01;4;2;10;3;4;10;;1;2;2;625;;0;0
5;52;2810553;F001;4.7593062653539;01;01;1;01;3;1;11;4;4;03;;1;2;1;666.67;3;0;0
5;52;7375105;F001;5.3094211005106;01;01;1;01;4;2;07;3;1;03;;1;3;1;2500;1;0;0
5;52;1657971;F001;5.4465327988826;01;01;1;01;2;2;04;2;1;05;;1;1;1;300;;0;0
5;52;7247579;F001;5.7802067138278;01;01;1;01;4;2;10;3;4;03;;2;2;2;625;3;0;0
5;52;1144272;F001;4.2869291392795;01;01;1;01;3;1;12;1;1;10;;0;2;1;1400;;0;0
5;52;489203;F001;4.2267334521135;01;01;1;01;4;2;08;1;4;03;;1;2;2;825;1;0;0
5;52;4095377;F001;4.8395815883792;01;01;1;01;2;1;14;1;1;01;;0;1;1;2400;1;0;0
5;52;6278232;F001;4.4749307082985;01;01;1;01;4;1;08;1;1;03;;2;1;3;1500;1;0;0
5;52;2373470;F001;4.3233452504552;01;01;1;01;5;2;09;2;1;03;;3;3;2;700;1;0;0
5;52;7117753;F001;5.0997900558522;01;01;1;01;2;1;05;3;4;01;;0;1;1;1200;2;0;0
5;52;723196;F001;5.0997900558522;01;01;1;01;2;1;05;3;1;01;;0;1;1;606;2;0;0
5;52;2909436;F001;5.7150092041782;01;01;1;01;2;1;11;3;4;01;;0;1;1;606;2;0;0
5;52;4042976;F001;5.3084517179521;01;01;1;01;2;2;10;1;4;01;;0;1;1;6250;1;0;0
5;52;5728304;F001;6.7481387202901;01;01;1;01;2;2;06;2;4;01;;0;1;1;1450;1;0;0
5;52;6384783;F001;4.0675842946388;01;01;1;01;4;1;07;1;4;03;;2;3;1;1653;1;0;0
5;52;5303861;F001;5.9006693283755;01;01;1;01;4;2;07;4;4;03;;2;3;1;375;3;0;0
5;52;3152485;F001;6.6275084877561;01;01;1;01;2;1;15;1;1;01;;0;1;1;700;1;0;0
5;52;1577846;F001;5.80247424549;01;01;1;01;2;2;07;3;1;05;;1;1;1;1212;;0;0
5;52;1587516;F001;4.1758223163532;01;01;1;01;4;2;09;1;1;03;;1;1;3;100;4;0;0
